date,nav
29-05-2008,10.7205
28-05-2008,10.725
27-05-2008,10.7216
26-05-2008,10.7206
23-05-2008,10.7152
22-05-2008,10.7136
21-05-2008,10.721
20-05-2008,10.7202
16-05-2008,10.7134
15-05-2008,10.7113
14-05-2008,10.7106
13-05-2008,10.7107
12-05-2008,10.7095
09-05-2008,10.7032
08-05-2008,10.7011
07-05-2008,10.7012
06-05-2008,10.7056
05-05-2008,10.6999
02-05-2008,10.6898
30-04-2008,10.6804
29-04-2008,10.6727
28-04-2008,10.6402
25-04-2008,10.6247
24-04-2008,10.6186
23-04-2008,10.6171
22-04-2008,10.6164
21-04-2008,10.6072
17-04-2008,10.5995
16-04-2008,10.6002
15-04-2008,10.6029
11-04-2008,10.5953
10-04-2008,10.5951
09-04-2008,10.5954
08-04-2008,10.5932
07-04-2008,10.5911
04-04-2008,10.5827
03-04-2008,10.5863
02-04-2008,10.5836
01-04-2008,10.5808
31-03-2008,10.5788
28-03-2008,10.5719
27-03-2008,10.563
26-03-2008,10.5589
25-03-2008,10.5555
24-03-2008,10.5534
19-03-2008,11.0475
18-03-2008,11.0437
17-03-2008,11.0418
14-03-2008,11.0369
13-03-2008,11.035
12-03-2008,11.034
11-03-2008,11.0314
10-03-2008,11.0314
07-03-2008,11.0266
05-03-2008,11.0241
04-03-2008,11.0285
03-03-2008,11.0294
29-02-2008,11.0204
28-02-2008,11.0128
27-02-2008,11.0108
26-02-2008,11.0101
25-02-2008,11.0054
22-02-2008,10.9994
21-02-2008,11.0006
20-02-2008,10.9948
19-02-2008,11.0086
18-02-2008,11.0121
15-02-2008,11.0178
14-02-2008,11.0256
13-02-2008,11.0317
12-02-2008,11.0341
11-02-2008,11.0362
08-02-2008,11.028
07-02-2008,11.0279
06-02-2008,11.0293
05-02-2008,11.0259
04-02-2008,11.0283
01-02-2008,11.0239
31-01-2008,11.0199
30-01-2008,11.0177
29-01-2008,11.0216
28-01-2008,11.0517
25-01-2008,11.0635
24-01-2008,11.0823
23-01-2008,11.0811
22-01-2008,11.0376
21-01-2008,11.012
18-01-2008,11.0056
17-01-2008,11.003
16-01-2008,10.9923
15-01-2008,11.0047
14-01-2008,11.0178
11-01-2008,10.9874
10-01-2008,10.9532
09-01-2008,10.9158
08-01-2008,10.9111
07-01-2008,10.9162
04-01-2008,10.879
03-01-2008,10.8614
02-01-2008,10.8681
01-01-2008,10.8516
31-12-2007,10.8143
28-12-2007,10.794
27-12-2007,10.77
26-12-2007,10.7641
24-12-2007,10.7552
20-12-2007,10.7469
19-12-2007,10.7433
18-12-2007,10.7402
17-12-2007,10.7333
14-12-2007,10.7266
13-12-2007,10.7234
12-12-2007,10.7241
11-12-2007,10.7297
10-12-2007,10.7314
07-12-2007,10.7269
06-12-2007,10.7237
05-12-2007,10.7211
04-12-2007,10.716
03-12-2007,10.7116
30-11-2007,10.6982
29-11-2007,10.6809
28-11-2007,10.6803
27-11-2007,10.6823
26-11-2007,10.6821
23-11-2007,10.6739
22-11-2007,10.6704
21-11-2007,10.6675
20-11-2007,10.6674
19-11-2007,10.6628
16-11-2007,10.657
15-11-2007,10.651
14-11-2007,10.6532
13-11-2007,10.6497
12-11-2007,10.6384
08-11-2007,10.6293
07-11-2007,10.634
06-11-2007,10.6368
05-11-2007,10.6378
02-11-2007,10.6353
01-11-2007,10.6317
31-10-2007,10.6319
30-10-2007,10.6396
29-10-2007,10.652
26-10-2007,10.6369
25-10-2007,10.6373
24-10-2007,10.6319
23-10-2007,10.6066
22-10-2007,10.5849
19-10-2007,10.5614
18-10-2007,10.5564
17-10-2007,10.5471
16-10-2007,10.5464
15-10-2007,10.5449
12-10-2007,10.54
11-10-2007,10.5405
10-10-2007,10.5333
09-10-2007,10.524
08-10-2007,10.5215
05-10-2007,10.5135
04-10-2007,10.5169
03-10-2007,10.5164
01-10-2007,10.4906
28-09-2007,10.4855
27-09-2007,10.668
26-09-2007,10.6636
25-09-2007,10.669
24-09-2007,10.6719
21-09-2007,10.6727
20-09-2007,10.6644
19-09-2007,10.6583
18-09-2007,10.6485
17-09-2007,10.6466
14-09-2007,10.6429
13-09-2007,10.6375
12-09-2007,10.6385
11-09-2007,10.6349
10-09-2007,10.6423
07-09-2007,10.6224
06-09-2007,10.6181
05-09-2007,10.6157
04-09-2007,10.6153
03-09-2007,10.6154
31-08-2007,10.6056
30-08-2007,10.5979
29-08-2007,10.5989
28-08-2007,10.6023
27-08-2007,10.6098
24-08-2007,10.606
23-08-2007,10.6047
22-08-2007,10.6046
21-08-2007,10.5982
17-08-2007,10.5965
16-08-2007,10.6032
14-08-2007,10.6051
13-08-2007,10.6073
10-08-2007,10.5983
09-08-2007,10.6132
08-08-2007,10.6477
07-08-2007,10.679
06-08-2007,10.6721
03-08-2007,10.6656
02-08-2007,10.6617
01-08-2007,10.6593
31-07-2007,10.6767
30-07-2007,10.6861
27-07-2007,10.6783
26-07-2007,10.6797
25-07-2007,10.6723
24-07-2007,10.6959
23-07-2007,10.6992
20-07-2007,10.6519
19-07-2007,10.6485
18-07-2007,10.6549
17-07-2007,10.6223
16-07-2007,10.5692
13-07-2007,10.5455
12-07-2007,10.5338
11-07-2007,10.5271
10-07-2007,10.5068
09-07-2007,10.5067
06-07-2007,10.4619
05-07-2007,10.4524
04-07-2007,10.4338
