date,nav
01-06-2026,169.5
29-05-2026,170.942
27-05-2026,173.411
26-05-2026,173.396
25-05-2026,173.668
22-05-2026,171.907
21-05-2026,171.425
20-05-2026,171.08
19-05-2026,170.795
18-05-2026,169.622
15-05-2026,169.92
14-05-2026,170.287
13-05-2026,168.32
12-05-2026,167.531
11-05-2026,171.104
08-05-2026,173.389
07-05-2026,174.487
06-05-2026,173.313
05-05-2026,170.44
04-05-2026,171.117
30-04-2026,169.755
29-04-2026,171.224
28-04-2026,170.423
27-04-2026,171.103
24-04-2026,168.973
23-04-2026,170.829
22-04-2026,172.176
21-04-2026,172.591
20-04-2026,171.472
17-04-2026,171.554
16-04-2026,170.111
15-04-2026,169.24
13-04-2026,166.135
10-04-2026,167.467
09-04-2026,165.052
08-04-2026,165.989
07-04-2026,159.821
06-04-2026,159.302
02-04-2026,157.035
01-04-2026,157.094
31-03-2026,153.727
30-03-2026,153.729
27-03-2026,157.786
25-03-2026,161.225
24-03-2026,158.104
23-03-2026,155.029
20-03-2026,160.174
19-03-2026,159.132
18-03-2026,164.386
17-03-2026,161.927
16-03-2026,160.655
13-03-2026,160.137
12-03-2026,164.011
11-03-2026,164.997
10-03-2026,167.006
09-03-2026,165.034
06-03-2026,168.165
05-03-2026,169.8
04-03-2026,167.972
02-03-2026,171.39
27-02-2026,174.058
26-02-2026,176.175
25-02-2026,175.876
24-02-2026,174.716
23-02-2026,175.998
20-02-2026,175.2
19-02-2026,174.588
18-02-2026,177.017
17-02-2026,176.453
16-02-2026,176.012
13-02-2026,175.066
12-02-2026,177.212
11-02-2026,178.235
10-02-2026,177.787
09-02-2026,176.957
06-02-2026,174.626
05-02-2026,174.705
04-02-2026,175.456
03-02-2026,174.946
02-02-2026,170.938
30-01-2026,171.926
29-01-2026,172.119
28-01-2026,171.419
27-01-2026,169.641
23-01-2026,169.021
22-01-2026,171.284
21-01-2026,170.39
20-01-2026,171.544
19-01-2026,174.817
16-01-2026,175.827
14-01-2026,175.799
13-01-2026,175.071
12-01-2026,175.027
09-01-2026,175.006
08-01-2026,176.553
07-01-2026,179.075
06-01-2026,178.942
05-01-2026,179.317
02-01-2026,179.682
01-01-2026,178.635
31-12-2025,178.511
30-12-2025,176.865
29-12-2025,176.907
26-12-2025,177.363
24-12-2025,177.728
23-12-2025,178.219
22-12-2025,177.945
19-12-2025,176.905
18-12-2025,175.426
17-12-2025,175.278
16-12-2025,175.806
15-12-2025,177.396
12-12-2025,177.578
11-12-2025,176.269
10-12-2025,175.25
09-12-2025,175.934
08-12-2025,175.666
05-12-2025,178.068
04-12-2025,177.215
03-12-2025,177.187
02-12-2025,177.404
01-12-2025,178.082
28-11-2025,178.247
27-11-2025,178.409
26-11-2025,178.28
25-11-2025,176.173
24-11-2025,176.19
21-11-2025,176.781
20-11-2025,177.898
19-11-2025,177.605
18-11-2025,177.037
17-11-2025,178.077
14-11-2025,177.12
13-11-2025,177.269
12-11-2025,177.335
11-11-2025,176.502
10-11-2025,175.901
07-11-2025,175.084
06-11-2025,174.863
04-11-2025,176.331
03-11-2025,177.293
31-10-2025,176.383
30-10-2025,177.261
29-10-2025,177.878
28-10-2025,176.967
27-10-2025,176.973
24-10-2025,175.538
23-10-2025,176.012
20-10-2025,175.394
17-10-2025,174.132
16-10-2025,174.209
15-10-2025,173.16
14-10-2025,172.026
13-10-2025,172.477
10-10-2025,172.802
09-10-2025,171.868
08-10-2025,170.628
07-10-2025,171.467
06-10-2025,171.344
03-10-2025,170.289
01-10-2025,169.355
30-09-2025,167.818
26-09-2025,167.38
25-09-2025,169.844
24-09-2025,170.819
23-09-2025,172.157
